PRODUCT_CODE,ITEM,PRICE,PRICE CHANGE
MR993VI,Men's Classic 993 Running,71.994,0.0
MX623AB3,Men's 623v3 ,23.994,0.0
MR993BK,Men's Classic 993 Running,71.994,0.0
L3000TR3,Low-Cut 3000v3 Metal Baseball Cleat,45.593999999999994,7.105427357601002e-15
L3000TB3,Low-Cut 3000v3 Metal Baseball Cleat,45.593999999999994,7.105427357601002e-15
MX623AW3,Men's 623v3 ,23.994,0.0
MSPTLG1,Men's Fresh Foam Sport,35.994,0.0
MR993BU,Men's Classic 993 Running,71.994,0.0
MR993MG,Men's Classic 993 Running,71.994,0.0
M860BG8,Men's 860v8,59.99399999999999,7.105427357601002e-15
M860GG8,Men's 860v8,59.99399999999999,7.105427357601002e-15
ML574MG,Men's 574,26.994,0.0
MX623WN3,Men's 623v3 ,23.994,0.0
L3000BY3,Low-Cut 3000v3 Metal Baseball Cleat,45.593999999999994,7.105427357601002e-15
M890BK6,Men's 890v6,57.593999999999994,7.105427357601002e-15
M890WB6,Men's 890v6,57.593999999999994,7.105427357601002e-15
MR993GL,Men's Classic 993 Running,71.994,0.0
MW411WB2,Men's 411v2,31.194,0.0
MW411WT2,Men's 411v2,32.634,0.0
MARISCG2,Men's Fresh Foam Arishi v2,33.594,0.0
MARISCT2,Men's Fresh Foam Arishi v2,33.594,0.0
L4040GR2,Low-Cut 4040v2 Metal Baseball Cleat,24.0,0.0
RCVRYNV,Men's RCVRY Slip-On,25.194,0.0
RCVRYBK,Men's RCVRY Slip-On,25.194,0.0
FREEZRD,Men's FreezeLX Lacrosse Cleat,26.994,0.0
L4040MD4,Low-Cut 4040v4 Metal Baseball Cleat,23.994,0.0
MSDVGEOB,Men's Vazee Verge Track Spike,35.994,0.0
L4040BB4,Low-Cut 4040v4 Metal Baseball Cleat,23.994,0.0
L4040BR4,Low-Cut 4040v4 Metal Baseball Cleat,32.994,0.0
M4040BK4,Mid-Cut 4040v4 Metal Baseball Cleat,32.994,0.0
M4040BO4,Mid-Cut 4040v4 Metal Baseball Cleat,47.99399999999999,7.105427357601002e-15
M4040BY4,Mid-Cut 4040v4 Metal Baseball Cleat,32.994,0.0
M4040TG4,Mid-Cut 4040v4 Metal Baseball Cleat,32.994,0.0
M4040TN4,Mid-Cut 4040v4 Metal Baseball Cleat,32.994,0.0
PL4040D4,Low-Cut 4040v4 TPU Baseball Cleat,28.794,0.0
MCRZDWP2,Men's Fresh Foam Cruz Decon,40.794,0.0
MS574AFC,Men's 574 Sport,57.593999999999994,7.105427357601002e-15
RCVRYWT,Men's RCVRY Slip-On,25.194,0.0
MS247EN,Men's 247,28.794,0.0
RCVRYRD,Men's RCVRY Slip-On,25.194,0.0
RCVRYGY,Men's RCVRY Slip-On,25.194,0.0
M990NG4,Men's 990v4 Made in US,59.99399999999999,7.105427357601002e-15
L4040TN4,Low-Cut 4040v4 Metal Baseball Cleat,32.994,0.0
BURNXLPB,Men's Low-Cut Burn X Lacrosse Cleat,47.99399999999999,7.105427357601002e-15
MS247FI,Men's 247v2 Deconstructed,38.394,0.0
M4040SK4,Mid-Cut 4040v4 Elements Pack Metal Baseball Cleat,23.994,0.0
MSX90SCD,Men's X-90,43.193999999999996,7.105427357601002e-15
MS574AFA,Men's 574 Sport,43.193999999999996,7.105427357601002e-15
ML574UJA,Men's 574 Marbled Street,38.394,0.0
PL4040P4,Low-Cut 4040v4 Pedroia TPU Baseball Cleat,26.994,0.0
PL4040R4,Low-Cut 4040v4 TPU Baseball Cleat,38.394,0.0
PL4040Y4,Low-Cut 4040v4 TPU Baseball Cleat,26.994,0.0
PM4040D4,Mid-Cut 4040v4 TPU Baseball Cleat,26.994,0.0
PM4040K4,Mid-Cut 4040v4 TPU Baseball Cleat,26.994,0.0
PM4040R4,Mid-Cut 4040v4 TPU Baseball Cleat,26.994,0.0
MMD500B6,Men's MD500v6 Track Spike,18.0,0.0
MMD500G6,Men's MD500v6 Track Spike,23.994,0.0
MMD500W6,Men's MD500v6 Track Spike,23.994,0.0
MXC5KRB4,Men's XC5Kv4 Track Spike,33.75,0.0
MW674BK,Men's 674 ,47.99399999999999,7.105427357601002e-15
M3000BK3,Mid-Cut 3000v3 Metal Baseball Cleat,45.593999999999994,7.105427357601002e-15
MSD100F2,Men's 100v2 Track Spike ,18.9,0.0
MSD100W2,Men's 100v2 Track Spike ,18.0,0.0
FREEZGW,Men's FreezeLX Lacrosse Cleat,39.593999999999994,7.105427357601002e-15
FREEZPB,Men's FreezeLX Lacrosse Cleat,29.7,0.0
ULAZRLA,Unisex Fresh Foam Lazr Luxe,52.794,0.0
USDSGMHG,Unisex Vazee Sigma Harmony Track Spike,44.99399999999999,7.105427357601002e-15
MTKYMRR1,Men's Kaymin Trail,35.994,0.0
CM997HAG,Men's 997,43.193999999999996,7.105427357601002e-15
CM997HAJ,Men's 997,43.193999999999996,7.105427357601002e-15
USDSGMGB,Unisex Vazee Sigma Track Spike,49.794,0.0
MRUBXGY,Men's Rubix,79.194,0.0
MTCRGLG1,Men's Fresh Foam Crag Trail,40.794,0.0
MTCRGLM1,Men's Fresh Foam Crag Trail,40.794,0.0
U520EB,Unisex 520,47.99399999999999,7.105427357601002e-15
NEW,NEW,NEW,NEW
M990NV4,Men's 990v4 Made in US,59.99399999999999
T3000BO4,Low-Cut 3000v4 Turf Baseball,40.794
T4040BK4,Low-Cut 4040v4 Turf Baseball Cleat,40.794
T4040WB4,Low-Cut 4040v4 Turf Baseball Cleat,40.794
MCRZDLB2,Men's Fresh Foam Cruz Decon,40.794
M860BH8,Men's 860v8,59.99399999999999
MTSKOMGG,Men's Summit Trail,57.593999999999994
BM3020BK,Men's 3020 Boot,76.794
MS247EB,Men's 247,20.994
REMOVED,REMOVED,REMOVED,REMOVED
M1540SB2,Men's 1540v2,79.194
NEW,NEW,NEW
REMOVED,REMOVED,REMOVED
