PRODUCT_CODE,ITEM,PRICE,PRICE CHANGE
MCRUZKG2,Men's Fresh Foam Cruz v2 Knit,20.4,20.394
MR993VI,Men's Classic 993 Running,68.99,3.004000000000005
MX623AB3,Men's 623v3 ,23.99,0.004000000000001336
MR993BK,Men's Classic 993 Running,74.99,-2.995999999999995
L3000TR3,Low-Cut 3000v3 Metal Baseball Cleat,19.95,25.643999999999995
L3000TB3,Low-Cut 3000v3 Metal Baseball Cleat,17.1,28.493999999999993
MX623AW3,Men's 623v3 ,23.99,0.004000000000001336
MSPTLG1,Men's Fresh Foam Sport,24.74,11.254000000000001
MR993BU,Men's Classic 993 Running,62.99,9.003999999999998
MR993MG,Men's Classic 993 Running,68.99,3.004000000000005
M860BG8,Men's 860v8,37.49,22.50399999999999
M860GG8,Men's 860v8,37.49,22.50399999999999
ML574MG,Men's 574,26.99,0.004000000000001336
MX623WN3,Men's 623v3 ,23.99,0.004000000000001336
L3000BY3,Low-Cut 3000v3 Metal Baseball Cleat,17.1,28.493999999999993
M890BK6,Men's 890v6,35.99,21.603999999999992
M890WB6,Men's 890v6,35.99,21.603999999999992
MR993GL,Men's Classic 993 Running,74.99,-2.995999999999995
MW411WB2,Men's 411v2,21.44,9.753999999999998
MW411WT2,Men's 411v2,20.39,12.244
MARISCG2,Men's Fresh Foam Arishi v2,33.59,0.003999999999997783
MARISCT2,Men's Fresh Foam Arishi v2,33.59,0.003999999999997783
L4040GR2,Low-Cut 4040v2 Metal Baseball Cleat,20.4,3.6000000000000014
RCVRYNV,Men's RCVRY Slip-On,21.41,3.783999999999999
RCVRYBK,Men's RCVRY Slip-On,21.41,3.783999999999999
FREEZRD,Men's FreezeLX Lacrosse Cleat,22.94,4.0539999999999985
L4040MD4,Low-Cut 4040v4 Metal Baseball Cleat,20.39,3.603999999999999
MSDVGEOB,Men's Vazee Verge Track Spike,30.59,5.404
L4040BB4,Low-Cut 4040v4 Metal Baseball Cleat,20.39,3.603999999999999
L4040BR4,Low-Cut 4040v4 Metal Baseball Cleat,28.04,4.954000000000001
M4040BK4,Mid-Cut 4040v4 Metal Baseball Cleat,28.04,4.954000000000001
M4040BO4,Mid-Cut 4040v4 Metal Baseball Cleat,40.79,7.2039999999999935
M4040BY4,Mid-Cut 4040v4 Metal Baseball Cleat,28.04,4.954000000000001
M4040TG4,Mid-Cut 4040v4 Metal Baseball Cleat,28.04,4.954000000000001
M4040TN4,Mid-Cut 4040v4 Metal Baseball Cleat,28.04,4.954000000000001
PL4040D4,Low-Cut 4040v4 TPU Baseball Cleat,24.47,4.324000000000002
MCRZDWP2,Men's Fresh Foam Cruz Decon,34.67,6.123999999999995
MS574AFC,Men's 574 Sport,48.95,8.643999999999991
RCVRYWT,Men's RCVRY Slip-On,21.41,3.783999999999999
MS247EN,Men's 247,24.47,4.324000000000002
RCVRYRD,Men's RCVRY Slip-On,21.41,3.783999999999999
RCVRYGY,Men's RCVRY Slip-On,21.41,3.783999999999999
M990NG4,Men's 990v4 Made in US,50.99,9.00399999999999
L4040TN4,Low-Cut 4040v4 Metal Baseball Cleat,28.04,4.954000000000001
BURNXLPB,Men's Low-Cut Burn X Lacrosse Cleat,40.79,7.2039999999999935
MS247FI,Men's 247v2 Deconstructed,32.63,5.763999999999996
M4040SK4,Mid-Cut 4040v4 Elements Pack Metal Baseball Cleat,20.39,3.603999999999999
MSX90SCD,Men's X-90,36.71,6.483999999999995
MS574AFA,Men's 574 Sport,36.71,6.483999999999995
ML574UJA,Men's 574 Marbled Street,32.63,5.763999999999996
PL4040R4,Low-Cut 4040v4 TPU Baseball Cleat,32.63,5.763999999999996
PL4040Y4,Low-Cut 4040v4 TPU Baseball Cleat,22.94,4.0539999999999985
PL4040P4,Low-Cut 4040v4 Pedroia TPU Baseball Cleat,22.94,4.0539999999999985
PM4040D4,Mid-Cut 4040v4 TPU Baseball Cleat,22.94,4.0539999999999985
PM4040K4,Mid-Cut 4040v4 TPU Baseball Cleat,22.94,4.0539999999999985
PM4040R4,Mid-Cut 4040v4 TPU Baseball Cleat,22.94,4.0539999999999985
MMD500B6,Men's MD500v6 Track Spike,15.3,2.6999999999999993
MMD500G6,Men's MD500v6 Track Spike,20.39,3.603999999999999
